iteration,best_heuristic,avg_simulation
1,67.67426,62.33852
2,68.01427,66.65623
3,68.0332,67.566605
4,68.15093,67.78946
5,67.24324,66.948494
6,67.3605,67.04563
7,68.55657,67.3041
8,68.55657,67.32265
9,68.86991,68.48386
10,68.86991,68.560104
11,69.06222,68.73792
12,69.56771,68.77523
13,69.46967,69.0056
14,69.56771,69.26029
15,69.75572,69.280464
16,70.05063,69.35826
17,70.13534,69.94582
18,70.29314,69.88787
19,70.28937,69.81397
20,70.19132,69.32735
21,70.20727,70.09592
22,70.56225,70.21673
23,70.660286,70.412315
24,69.87957,69.56304
25,69.97761,69.7994
26,71.0875,69.9356
27,71.43688,70.20277
28,71.50379,70.98335
29,71.50379,71.07726
30,71.53184,71.16688
31,70.657135,70.46116
32,70.657135,70.338936
33,71.53949,70.628456
34,71.63753,70.801994
35,71.63753,71.33232
36,71.71168,71.33962
37,71.71168,71.58241
38,71.903984,71.50476
39,72.12037,71.68493
40,72.12037,71.74101
41,72.21304,71.869606
42,72.31109,72.08723
43,72.37305,72.19787
44,72.37305,72.07114
45,72.60439,72.324104
46,72.506355,71.976555
47,72.73712,72.432
48,72.81303,72.46086
49,72.81303,72.48944
50,72.81303,72.61993
51,72.81303,72.74998
52,72.81303,72.52285
53,72.81303,72.688034
54,72.911064,72.464195
55,72.911064,72.743324
56,73.153824,72.894226
57,73.25187,73.01238
58,73.25187,72.824165
59,73.51545,73.14359
60,73.51545,73.15218
61,73.54817,73.14868
62,73.54817,73.403595
63,73.51545,73.38772
64,73.61349,73.449936
65,73.61349,73.430046
66,73.76278,73.40306
67,73.76278,73.53743
68,73.79685,73.59594
69,73.829575,73.720924
70,73.73154,73.64267
71,73.73154,73.416046
72,73.73154,73.215355
73,73.73154,73.49937
74,73.73154,73.2198
75,73.73154,73.4877
76,74.01826,73.51315
77,74.01826,73.80526
78,74.06549,73.83242
79,74.06549,73.90795
80,74.1867,73.97092
81,74.1867,73.85482
82,74.1867,74.02526
83,74.1867,73.947586
84,74.1867,74.03407
85,74.20921,73.987686
86,74.1867,74.000565
87,74.1867,73.939354
88,74.16399,73.98553
89,74.262024,73.94386
90,74.16399,74.02649
91,74.38621,73.99368
92,74.40892,74.14646
93,74.40892,74.19891
94,74.5941,74.31109
95,74.49606,74.24312
96,74.49606,74.22165
97,74.47336,74.31941
98,74.398026,74.27873
99,74.398026,74.288025
100,74.398026,74.172424
101,74.398026,74.25748
102,74.571396,74.37293
103,74.571396,74.42627
104,74.59806,74.43043
105,74.59806,74.418015
106,74.620575,74.26042
107,74.620575,74.27701
108,74.620575,74.47474
109,74.620575,74.49894
110,74.620575,74.24346
111,74.620575,74.20324
112,74.52254,74.35935
113,74.620575,74.375694
114,74.620575,74.492584
115,74.620575,74.389565
116,74.71861,74.48114
117,74.71861,74.41948
118,74.826584,74.474106
119,74.92462,74.63211
120,75.02266,74.724236
121,75.02266,74.78147
122,75.045364,74.85168
123,75.045364,74.85559
124,75.15953,74.88783
125,75.15953,74.6763
126,74.963455,74.79173
127,75.06149,74.82726
128,75.06149,74.93104
129,75.06149,74.868324
130,75.15953,74.81361
131,75.15953,74.72992
132,75.05364,74.7636
133,75.05364,74.68048
134,75.05364,74.76406
135,75.05364,74.823204
136,75.05364,74.309265
137,75.15169,74.7198
138,75.05364,74.78054
139,75.05364,74.92793
140,75.22178,75.01771
141,75.15608,74.80057
142,75.058044,74.86598
143,75.058044,74.840004
144,75.05364,74.89037
145,74.85757,74.608154
146,74.85757,74.76094
147,75.05364,74.84847
148,75.05364,74.90426
149,75.05364,74.81392
150,75.05364,74.73871
151,75.05364,74.83455
152,75.05364,74.7006
153,75.041664,74.87119
154,75.1397,74.74099
155,75.1397,74.87082
156,75.1397,74.90599
157,75.23774,75.00146
158,75.23774,75.03983
159,75.23774,74.973045
160,75.23774,75.10178
161,75.23774,75.14025
162,75.25028,75.05455
163,75.152245,75.06427
164,75.25028,75.03753
165,75.25028,75.05868
166,75.32038,75.07677
167,75.32038,75.13704
168,75.32038,75.1871
169,75.02627,74.89593
170,75.02627,74.78814
171,75.124306,74.98974
172,75.22234,74.882835
173,75.22234,74.77252
174,75.24668,74.70385
175,75.24668,75.06002
176,75.24668,74.924
177,75.14864,74.97075
178,75.14864,75.092445
179,75.14864,75.003654
180,75.14864,75.04672
181,75.2348,74.761345
182,75.2348,74.866425
183,75.2348,75.0486
184,75.2348,74.9298
185,75.41662,75.174225
186,75.41662,75.178856
187,75.70448,75.45278
188,75.70448,75.46322
189,75.70448,75.53156
190,75.70448,75.56532
191,75.70448,75.494774
192,75.70448,75.578804
