iteration,best_heuristic,avg_simulation
1,67.30771,62.13117
2,67.30771,64.936424
3,67.73723,67.37119
4,67.930176,67.46659
5,68.00357,67.73993
6,68.19944,67.791
7,68.44845,67.24431
8,68.44845,67.98557
9,68.799324,68.01758
10,69.0061,68.37858
11,69.08148,68.74747
12,69.25423,68.96814
13,69.28556,68.977585
14,69.496704,69.02845
15,69.496704,69.23154
16,69.54146,69.18889
17,69.59934,69.28954
18,69.78189,69.37422
19,69.795074,69.53256
20,70.0499,69.78377
21,70.0499,69.761856
22,70.24014,69.9477
23,70.40077,70.117874
24,70.557205,70.31867
25,70.8537,70.528915
26,70.8537,70.63987
27,71.17648,70.875305
28,71.233215,70.827034
29,71.33525,70.86203
30,71.33525,71.08912
31,71.38057,71.0702
32,71.69339,71.365715
33,71.69339,71.41849
34,71.70842,71.45611
35,71.722626,71.57939
36,71.92313,71.504005
37,71.82109,71.60778
38,71.92313,71.738464
39,72.03154,71.78265
40,72.20964,71.89161
41,72.107605,71.78806
42,72.20964,71.97632
43,72.22878,71.95938
44,72.58539,72.03088
45,72.48335,72.024506
46,72.68742,72.22875
47,72.62831,72.343475
48,72.62831,72.20357
49,72.76019,72.54706
50,73.03499,72.739525
51,73.03499,72.76933
52,73.21837,72.93637
53,73.21837,72.80211
54,73.21837,73.03811
55,73.11633,72.966034
56,73.129456,72.90828
57,73.23149,73.003426
58,73.247955,72.82626
59,73.247955,73.094086
60,73.247955,73.04186
61,73.58266,73.11906
62,73.68469,73.27056
63,73.88878,73.53973
64,73.88878,73.36983
65,73.88878,73.817184
66,74.092865,73.70065
67,74.11426,73.841354
68,73.990814,73.8473
69,74.092865,73.914444
70,74.092865,73.84715
71,73.90106,73.2817
72,74.0031,73.73372
73,74.0031,73.77338
74,74.10515,73.8026
75,74.207184,73.823524
76,74.10515,73.899055
77,74.305145,74.10471
78,74.305145,74.155304
79,74.305145,74.13358
80,74.305145,74.13423
81,74.26773,74.07919
82,74.26773,74.07191
83,74.488655,74.07878
84,74.488655,74.14847
85,74.59069,74.34395
86,74.59069,74.36616
87,74.76089,74.55417
88,74.89681,74.69203
89,74.89681,74.64571
90,74.844246,74.36682
91,74.844246,74.63241
92,74.76089,73.55976
93,74.76089,73.91456
94,74.96849,74.40601
95,74.96849,74.54751
96,74.96849,74.59426
97,74.869385,74.53843
98,74.96849,74.64094
99,74.96849,74.78316
100,74.86645,74.69987
101,74.86645,74.656654
102,74.98511,74.855835
103,75.07405,74.91036
104,75.07405,74.937004
105,74.972015,74.679214
106,74.97495,74.54574
107,75.131546,74.86394
108,75.093895,74.92395
109,75.093895,74.91944
110,75.093895,74.73621
111,75.093895,74.869415
112,75.093895,74.87205
113,75.11263,75.00603
114,75.196014,75.06035
115,75.196014,74.58757
116,75.09397,74.74485
117,75.08064,74.6447
118,75.146675,74.93829
119,75.146675,74.88801
120,75.24186,75.074234
121,75.25157,75.0592
122,75.25157,74.98128
123,75.29987,74.86688
124,75.29987,74.95175
125,75.29987,74.94337
126,75.29987,74.99623
127,75.29987,75.08345
128,75.29987,75.10054
129,75.29987,75.10845
130,75.30674,75.04375
131,75.30674,75.19273
132,75.30674,75.15812
133,75.280075,75.13498
134,75.17803,74.75184
135,75.280075,74.89841
136,75.280075,74.843285
137,75.32033,75.16103
138,75.11624,74.99373
139,75.178604,75.01604
140,75.178604,75.10399
141,75.178604,74.94565
142,75.38269,75.1025
143,75.38269,75.01916
144,75.38269,74.97052
145,75.28064,75.122604
146,75.38269,75.03003
147,75.38269,74.86621
148,75.38269,75.14017
