iteration,best_heuristic,avg_simulation
1,66.156624,60.57483
2,66.413635,64.80825
3,66.62197,66.12831
4,66.77866,66.237526
5,66.77866,66.27856
6,67.07788,66.77229
7,67.29064,66.992165
8,68.77993,67.28541
9,69.27326,67.883484
10,69.57532,68.93014
11,69.910706,69.34011
12,69.99536,69.564804
13,70.12347,69.864655
14,70.12347,69.82629
15,70.18345,69.85707
16,70.163765,69.9347
17,70.39813,70.067276
18,70.39813,70.19027
19,70.51129,70.36434
20,70.54237,70.374825
21,70.85061,70.42061
22,70.93682,70.57146
23,70.93682,70.79909
24,71.07371,70.58672
25,71.246124,71.106766
26,71.246124,71.03513
27,71.43676,71.22909
28,71.39835,71.034996
29,71.39835,71.14999
30,71.520485,71.21203
31,71.60668,71.33286
32,71.82362,71.53256
33,71.82362,71.59129
34,71.90982,71.50396
35,71.92351,71.81371
36,71.92351,71.806404
37,72.135925,71.83539
38,72.135925,71.94942
39,72.34004,71.87675
40,72.253845,71.81051
41,72.36281,72.072685
42,72.36281,71.976974
43,72.44901,72.18756
44,72.535225,72.16561
45,72.62143,72.29473
46,72.62143,72.26144
47,72.80229,72.615746
48,72.88005,72.67571
49,72.88005,72.73932
50,72.793846,72.7024
51,72.80229,72.65885
52,72.80229,72.70415
53,72.8885,72.699745
54,72.8885,72.65613
55,73.01915,72.76494
56,73.07603,72.88328
57,73.07603,72.947266
58,73.16224,72.78747
59,73.16224,73.016335
60,73.095985,72.86125
61,73.00977,72.92917
62,73.36229,73.08097
63,73.36229,73.10598
64,73.36229,73.14828
65,73.36229,73.185844
66,73.36229,73.15457
67,73.36229,73.30654
68,73.44704,73.33134
69,73.55713,73.35942
70,73.55713,73.35097
71,73.67928,73.094696
72,73.67928,73.368065
73,73.67928,73.55037
74,73.76403,73.46773
75,73.76403,73.61007
76,73.79376,73.42945
77,73.79543,73.65523
78,73.79543,73.631516
79,73.79543,73.564064
80,73.710686,73.61863
81,73.7315,73.57636
82,73.91412,73.53401
83,73.91412,73.603065
84,74.15047,73.791824
85,74.15047,73.80932
86,74.15047,73.96448
87,74.15556,74.005646
88,74.238495,73.977005
89,74.25497,73.998116
90,74.357834,73.877655
91,74.357834,74.09616
92,74.27309,73.85774
93,74.27309,73.9243
