iteration,best_heuristic,avg_simulation
1,67.1768,62.01592
2,67.43114,65.7594
3,67.581375,67.03331
4,67.581375,67.385666
5,67.581375,67.38427
6,69.435425,67.53482
7,69.534294,67.92614
8,69.54763,69.00388
9,69.84913,69.23677
10,69.84913,69.519295
11,70.01089,69.6794
12,70.01089,69.67276
13,70.07017,69.58274
14,70.10915,69.88183
15,70.214966,69.764275
16,70.35929,69.816055
17,70.495445,70.07627
18,70.79412,70.294655
19,70.87694,70.46603
20,71.03887,70.787575
21,70.99821,70.80534
22,71.191765,70.785904
23,71.28792,70.93042
24,71.42825,70.93894
25,71.73006,71.222435
26,71.84332,71.4344
27,71.934135,71.63071
28,71.934135,71.57384
29,71.75894,71.16088
30,71.08586,70.77984
31,72.01695,71.04722
32,72.12644,71.358376
33,72.222595,71.67569
34,72.222595,71.95775
35,72.222595,71.954865
36,72.222595,71.8415
37,72.31875,71.93693
38,72.41452,72.10438
39,72.535614,72.10064
40,72.535614,72.1122
41,72.535614,72.2236
42,72.610756,72.431335
43,72.610756,72.33892
44,72.610756,72.512886
45,72.92283,72.46291
46,73.01898,72.83244
47,73.24639,72.82469
48,73.24639,72.92489
49,73.24639,73.05345
50,73.24639,73.07233
51,73.34799,73.07999
52,73.36868,73.18864
53,73.36868,73.229576
54,73.36868,73.25476
55,73.464836,73.18083
56,73.464836,73.293396
57,73.34454,73.113594
58,73.34454,72.96348
59,73.34454,73.11464
60,73.34454,73.17846
61,73.34454,72.94559
62,73.24839,73.008316
63,73.34454,72.87149
64,73.34454,73.14813
65,73.4407,73.18665
66,73.4407,73.389725
67,73.4407,73.25115
68,73.4407,73.21395
69,73.45068,73.10731
70,73.633,73.25081
71,73.65476,73.342636
72,73.744255,73.41899
73,73.744255,73.29174
74,73.744255,73.51302
75,73.83086,73.5224
76,74.02685,73.47502
77,74.02685,73.853226
78,73.94014,73.843605
79,73.94014,73.80374
80,74.03629,73.73447
81,73.94014,73.766495
82,74.03629,73.78308
83,73.07476,72.89341
84,73.94014,72.87724
85,73.94014,73.33064
86,74.00635,73.67248
87,74.00635,73.87335
88,74.20151,73.95018
89,74.20151,73.75632
90,74.120926,73.8317
91,74.120926,73.8617
92,74.120926,74.01392
93,74.2625,73.92805
94,74.2625,74.05141
95,74.2625,73.96454
96,74.23825,74.03473
97,74.16634,73.79593
98,74.17862,73.99098
99,74.084274,74.0236
100,74.084274,73.94175
101,74.084274,73.86057
102,74.261024,73.94824
103,73.98994,73.82151
104,74.084274,73.70507
105,74.17862,73.91976
106,74.17862,73.96601
107,74.21905,73.89618
108,74.12471,73.82048
109,74.24754,73.83755
110,74.3289,73.75992
111,74.34188,74.01526
112,74.34188,74.12109
113,74.34188,73.98625
114,74.34188,73.7281
115,74.39502,74.125275
116,74.39502,74.11604
117,74.39502,74.174255
118,74.39502,74.18042
119,74.48936,74.12387
120,74.50338,74.34911
121,74.50338,74.39343
122,74.50338,74.4154
123,74.529655,74.17471
124,74.529655,74.385765
125,74.43532,74.28585
126,74.529655,74.40116
127,74.529655,74.31069
128,74.529655,74.288506
129,74.529655,74.22638
130,74.51244,74.24203
131,74.529655,74.1839
132,74.605034,74.447556
133,74.70837,74.50573
134,74.70837,74.54192
135,74.70837,74.36902
136,74.70837,74.49367
137,74.70837,74.56088
138,74.70837,74.41025
139,74.61577,74.4605
140,74.70837,74.490585
141,74.70837,74.53375
142,74.61577,73.83831
143,74.70837,74.607704
144,74.70837,74.56967
145,74.89097,74.393234
146,74.70837,74.40519
147,74.70837,74.55509
148,74.70837,74.52226
149,74.70837,74.53626
150,74.80096,74.585335
151,74.80096,74.52737
152,74.80096,74.63533
153,74.80096,74.642296
154,74.80096,74.478065
155,74.80096,74.4526
156,74.80096,74.678055
157,74.80096,74.600105
158,74.80096,74.726
159,74.80096,74.4846
160,74.89355,74.66245
161,74.80096,74.66398
162,74.80096,74.59513
163,74.80096,74.43878
164,74.80096,74.70813
165,74.80096,74.57563
166,74.80096,74.61778
167,74.80096,74.47024
168,74.80096,74.542885
169,74.80096,74.61044
170,74.70837,74.561905
171,74.70837,74.62727
172,74.52318,74.38902
173,74.52318,74.36531
174,74.70837,74.186165
175,74.61577,74.402756
176,74.73416,74.57938
177,74.83749,74.54134
178,74.83749,74.54299
179,74.83749,74.510025
180,74.83749,74.525734
181,74.83749,74.73194
182,74.93008,74.874535
183,74.93008,74.619484
184,74.93008,74.79299
185,74.93008,74.8323
186,74.98198,74.80025
187,75.10445,74.89316
188,75.10445,74.80423
189,75.23666,74.98436
190,75.23666,75.026
191,75.23666,75.17346
192,75.144066,75.01707
193,75.144066,75.0354
194,75.144066,74.79005
195,75.144066,75.0385
196,75.144066,74.97651
197,75.144066,75.10349
198,75.144066,75.000824
199,75.144066,74.727585
201,75.144066,74.38608
202,75.144066,74.98478
203,75.157196,75.02655
204,75.249794,74.73267
205,75.331955,74.949036
206,75.331955,75.14967
207,75.42455,75.07473
208,75.42455,75.23695
209,75.239365,74.715904
210,75.239365,74.913574
211,75.146774,74.77881
212,75.146774,75.027466
213,75.146774,74.97821
214,75.331955,75.19808
215,75.331955,75.19513
216,75.331955,75.18373
217,75.331955,75.05184
218,75.42455,74.3722
219,75.42455,74.51907
220,75.42455,75.25112
221,75.331955,75.14343
222,75.331955,74.92903
223,75.331955,75.17518
224,75.331955,75.17094
225,75.331955,74.92729
226,75.239365,75.020935
227,75.239365,75.16725
