iteration,best_heuristic,avg_simulation
1,66.52114,61.97369
2,66.52114,65.13642
3,67.62375,66.442245
4,68.90082,67.16566
5,69.367485,67.69624
6,70.21798,69.01622
7,70.36164,69.64449
8,70.43074,70.05518
9,70.71015,70.104355
10,70.68969,70.24949
11,71.180695,70.45697
12,71.56531,70.731964
13,71.56531,70.90238
14,71.75762,71.461945
15,71.82546,71.29121
16,71.93931,71.67518
17,71.9618,71.75413
18,71.93931,71.525566
19,72.28926,71.69601
20,72.28926,71.87488
21,72.34167,72.09731
22,72.53034,72.18279
23,72.42396,72.10147
24,72.67759,72.438736
25,72.67759,72.38959
26,72.611206,72.489456
27,72.67759,72.325874
28,72.906265,72.612335
29,72.906265,72.52976
30,73.11903,72.59684
31,72.26797,71.94674
32,72.26797,72.02367
33,72.26797,72.05398
34,73.49096,72.256744
35,73.70148,72.48168
36,73.49096,72.89227
37,73.70148,73.28482
38,73.70148,73.44182
39,72.65981,72.31667
40,72.48735,72.16811
41,73.346794,72.327995
42,73.59731,73.34075
43,73.59731,73.392624
44,73.59731,73.449554
45,73.49314,73.32893
46,73.70148,73.470825
47,73.80564,73.43152
48,73.80564,73.66056
49,73.80564,73.64084
50,73.99432,73.70429
51,73.99432,73.75716
52,73.99432,73.73516
53,73.99432,73.68649
54,74.11433,73.82878
55,74.21849,73.82344
56,74.34483,74.06865
57,73.30316,72.93381
58,74.34483,73.99503
59,74.34483,73.7807
60,74.1365,73.83754
61,74.1365,74.07742
62,74.1365,73.80295
63,74.39404,74.06524
64,74.39404,73.9675
65,74.498215,74.13703
66,74.498215,74.08806
67,74.28988,73.83179
68,74.48776,74.19329
69,74.5665,74.22007
70,74.70432,74.314766
71,74.70432,74.45874
72,74.70432,74.44583
73,74.89294,74.24224
74,74.89294,74.6017
75,74.91266,74.621155
76,74.91266,74.631935
77,74.89294,74.65847
78,75.03963,74.67641
79,75.03963,74.72177
80,75.03963,74.775986
81,75.24754,74.75483
82,75.24754,74.811966
83,75.29873,75.02691
84,75.29873,75.12236
85,75.194565,74.79956
86,75.19484,75.023155
87,75.4678,75.071365
88,75.57196,75.1446
