iteration,best_heuristic,avg_simulation
1,66.273094,59.37632
2,66.273094,64.31203
3,66.971344,66.33997
4,66.971344,66.38343
5,68.03671,67.102425
6,67.949,66.87242
7,68.04646,67.21443
8,68.220314,67.41952
9,68.220314,68.05307
10,68.443924,68.20345
11,68.88879,68.41605
12,68.88879,68.295105
13,69.087296,68.66598
14,69.087296,68.8642
15,69.43817,69.0445
16,69.48922,69.25586
17,69.73849,69.48662
18,69.83373,69.578575
19,70.13566,69.35827
20,70.13566,69.834305
21,70.49604,70.068726
22,70.653885,70.37554
23,70.56616,70.45342
24,70.72189,70.56759
25,70.89733,70.63695
26,71.019775,70.728806
27,71.084496,70.46023
28,71.30165,70.79253
29,71.213936,71.070496
30,71.452446,71.13806
31,71.373276,70.80871
32,71.38598,71.27594
33,71.38598,71.27478
34,71.60975,71.45993
35,71.60975,71.29519
36,71.76187,71.53149
37,71.76187,71.53118
38,71.7892,71.534386
39,71.7892,71.07519
40,71.98299,71.74413
41,72.0707,71.957054
42,72.29345,71.95127
43,72.29345,72.05967
44,72.24967,72.11352
45,72.18213,72.05792
46,72.18213,72.07519
47,72.18213,71.90611
48,72.18213,72.09387
49,72.14405,71.99814
51,72.15,71.988335
52,72.26985,71.778244
53,72.367584,71.82007
54,72.48245,72.086586
55,72.39474,72.066505
56,72.41384,71.59719
57,72.48245,72.28217
58,72.6579,72.450905
59,72.68897,72.54446
60,72.74264,72.572556
61,72.827385,72.70176
62,72.83036,72.72175
63,72.83036,72.81956
64,72.918076,72.56441
65,72.951775,72.862854
66,73.0058,72.64473
67,72.99918,72.62622
68,73.08327,72.942635
69,73.03245,72.940926
70,73.03245,72.9419
71,73.01556,72.90422
72,72.92783,72.81714
73,72.92783,72.44949
74,72.93673,72.77265
75,72.93673,72.85328
76,73.00726,72.83939
77,73.04901,72.89399
78,73.04901,72.92187
79,73.13673,73.01674
80,73.13673,72.91444
81,73.13673,73.054436
82,73.17439,73.029106
83,73.17439,73.05503
84,73.08668,72.999626
85,73.262115,73.094864
86,73.26596,73.13146
87,73.17824,72.69265
88,73.34329,73.20037
89,73.34329,73.163216
90,73.34329,73.13674
91,73.43101,73.31059
92,73.51873,73.12422
93,73.493195,73.30147
94,73.493195,73.4006
95,73.58092,73.20803
96,73.493195,73.14879
97,73.500885,73.447495
98,73.500885,73.41927
99,73.580246,73.43384
