iteration,best_heuristic,avg_simulation
1,66.48001,60.007687
2,66.48156,64.56386
3,66.66869,65.97771
4,67.04636,66.23612
5,67.30427,66.740715
6,67.34431,67.172455
7,67.44046,67.10379
8,67.44046,67.26002
9,67.5348,67.17189
10,68.13277,67.383514
11,68.7553,67.73849
12,68.90885,68.350784
13,69.12115,68.72361
14,69.233894,68.78118
15,69.63173,69.07585
16,69.696495,68.96915
17,69.9858,69.54482
18,70.27426,70.00562
19,70.17811,70.00763
20,70.2053,69.93893
21,70.2053,70.065636
22,70.10915,69.67227
23,70.24171,69.95568
24,70.33785,69.68299
25,70.45753,70.172386
26,70.60166,70.33803
27,70.50551,70.22879
28,70.409355,70.114075
29,71.04561,70.67111
30,70.975784,70.63358
31,71.0432,70.843575
32,71.061455,70.43794
33,71.061455,70.92612
34,71.17987,70.79377
35,71.24852,71.0225
36,71.56448,71.02648
37,71.56448,71.39501
38,71.64654,70.61101
39,71.64654,71.48512
40,70.78115,70.643936
41,71.838844,71.65321
42,71.838844,71.62736
43,71.955574,71.10381
44,71.955574,71.764496
45,71.66711,71.44935
46,71.66711,71.46266
47,71.57095,71.40383
48,71.57095,71.474014
49,71.75202,71.412575
51,71.65587,71.36928
52,71.79918,71.06274
53,72.07921,71.771805
54,72.07921,71.84738
55,72.271515,71.88858
56,72.17536,71.76793
57,72.21083,71.940834
58,72.309685,72.12239
59,72.309685,71.891556
60,72.50199,72.28983
61,72.50199,72.37457
62,72.83468,72.44455
63,72.83468,72.51924
64,72.83468,72.68721
65,72.83468,72.749535
66,73.01386,72.6543
67,73.01386,72.79877
68,73.01386,72.84167
69,73.01386,72.83099
70,73.01386,72.69033
71,72.91771,72.754906
72,72.63768,72.56981
73,72.90307,72.680885
74,72.90307,72.820786
75,72.84194,72.628845
76,72.78284,72.47356
77,72.929665,72.72643
78,72.88148,72.75331
79,72.99239,72.68177
80,72.89623,72.73003
81,72.80009,72.64623
82,72.80009,72.636314
83,72.80009,72.66675
84,72.99239,72.856316
85,72.99239,72.879135
86,72.9824,72.81124
87,72.9824,72.84392
88,72.9824,72.72739
89,73.07856,72.88099
90,73.174706,72.99399
91,73.174706,73.043335
92,73.17677,73.02645
93,73.17677,72.76873
94,73.17677,73.01336
95,73.22994,73.08917
96,73.22994,73.03345
97,73.13379,72.883125
98,73.21912,72.941734
99,73.21912,73.032906
