iteration,best_heuristic,avg_simulation
1,65.34423,60.658554
2,65.22658,63.9475
3,65.55038,65.16675
4,65.64653,65.36647
5,65.817696,65.57565
6,65.817696,65.66014
7,65.7399,65.5211
8,65.918655,65.69714
9,66.07124,65.750175
10,66.79585,65.95173
11,66.865456,66.213745
12,66.865456,66.61756
13,66.95166,66.77435
14,66.996185,66.730225
15,67.13221,66.994736
16,67.046,66.94822
17,66.92424,66.61496
18,67.096664,66.86593
19,67.12273,66.991
20,67.223656,67.024376
21,67.223656,67.109474
22,67.2584,67.11068
23,67.37059,67.28513
24,67.559265,67.39023
25,67.559265,67.28714
26,67.73169,67.521645
27,67.64548,67.439804
28,67.73982,67.39731
29,67.82603,67.73187
30,67.83415,67.642235
31,67.83415,67.68754
32,67.83416,67.746704
33,68.014694,67.8698
34,68.07143,67.89222
35,68.07956,67.85803
36,68.14606,67.99015
37,68.21443,68.047516
38,68.18408,67.962494
39,68.21443,68.075066
40,68.18381,68.05384
41,68.27002,68.10991
42,68.30029,68.13935
43,68.214096,67.88965
44,68.127884,68.00106
45,68.214096,68.08226
46,68.31656,68.043015
47,68.31656,67.98947
48,68.46402,68.33443
49,68.31656,68.25018
51,68.48897,68.268776
52,68.42691,68.323555
53,68.49176,68.2759
54,68.49176,68.313385
55,68.595856,68.45131
56,68.66418,68.55287
57,68.666504,68.44889
58,68.666504,68.471535
59,68.66418,68.49974
60,68.58029,68.45751
61,68.752716,68.54364
62,68.752716,68.53923
63,68.86525,68.73393
64,68.93326,68.79773
65,68.93326,68.7563
66,68.93326,68.77648
67,68.96701,68.88471
68,68.8808,68.63424
69,68.97514,68.82795
70,68.97514,68.84687
71,69.00276,68.890625
72,70.9474,69.00177
73,70.9474,69.53661
74,71.41403,70.93393
75,71.33305,70.986664
76,71.43381,71.22129
77,71.43381,71.14028
78,71.44708,71.22301
79,71.57306,71.29295
80,71.61657,71.403404
81,71.61657,71.096596
82,71.61657,71.53757
83,71.70132,71.54855
84,71.70132,71.55728
85,71.70132,71.48402
86,71.786064,71.57082
87,71.70132,71.55014
88,71.786064,71.60263
89,71.786064,71.58433
90,71.72162,71.57293
91,71.72162,71.60626
92,71.72162,71.47018
93,71.72162,71.6152
94,71.806366,71.630424
95,71.89111,71.578575
96,71.806366,71.32916
97,71.806366,71.740204
98,71.72163,71.5697
99,71.63688,71.485374
