iteration,best_heuristic,avg_simulation
1,66.19577,60.96518
2,66.34851,65.879265
3,67.36945,66.32257
4,68.22597,67.047226
5,68.398384,67.68872
6,68.31217,68.04935
7,68.40001,68.10505
8,68.50417,68.3234
9,68.60834,68.41896
10,68.81332,68.23982
11,68.91536,68.59879
12,69.05774,68.840126
13,69.05847,68.69069
14,69.26254,68.62967
15,69.26254,69.02873
16,69.4983,69.25134
17,69.53047,69.00223
18,69.84907,69.43043
19,69.886406,69.59253
20,69.93528,69.0978
21,69.93528,69.83429
22,70.07441,69.848274
23,70.07441,69.939125
24,70.20974,70.03139
25,70.12353,69.40684
26,70.18707,69.89061
27,70.35949,70.13106
28,70.5319,69.93904
29,70.675835,70.225655
30,70.675835,70.44374
31,70.76203,70.515305
32,70.7287,70.57212
33,70.7287,70.596375
34,70.81491,70.589775
35,70.81491,70.60921
36,70.81491,70.65433
37,71.04133,70.79172
38,71.04133,70.73035
39,71.04133,70.789474
40,70.99925,70.748985
41,70.99925,70.75187
42,71.09925,70.93724
43,71.22409,70.8435
44,71.22409,71.02156
45,71.22409,71.07541
46,71.276505,71.08156
47,71.24182,71.047935
48,71.489876,71.138565
49,71.489876,71.22793
51,71.589874,70.75269
52,71.81608,71.41326
53,71.94268,71.46215
54,71.94268,71.722664
55,71.85793,71.724625
56,72.04837,71.8758
57,72.04837,71.867455
58,72.24497,71.80703
59,72.32831,72.04015
60,72.32831,72.08188
61,72.32831,72.22918
62,72.39371,72.26967
63,72.411644,72.02776
64,72.44288,72.318245
65,72.44288,72.32438
66,72.567955,72.3565
67,72.60955,72.391655
68,72.526215,72.310455
69,72.55742,72.34706
70,72.55742,71.973564
71,72.640755,72.51046
72,72.78273,71.9849
73,72.949394,72.71959
74,72.949394,72.14676
75,72.97768,72.733894
76,72.985405,72.46044
77,72.985405,72.832275
78,72.735405,72.620346
79,72.90208,72.44065
80,72.90208,72.71745
81,72.9981,72.7857
82,72.9981,72.89827
83,72.914764,72.74364
84,72.914764,72.78332
85,72.914764,72.678024
86,72.93612,72.11062
87,72.93612,72.79228
88,73.03639,72.98626
89,72.95306,72.53133
90,73.02977,72.60623
91,73.06278,72.72075
92,72.944084,72.719246
93,73.00025,72.86476
94,73.08358,72.87231
95,73.11718,72.519455
96,73.166916,72.9588
97,73.09678,72.93535
98,73.25025,73.10301
99,73.25025,72.51909
