iteration,best_heuristic,avg_simulation
1,67.01117,61.970367
2,67.01117,65.66972
3,67.16155,66.75953
4,67.247765,67.07866
5,67.385574,66.92893
6,67.5595,67.35597
7,66.78364,66.582085
8,67.04116,66.71881
9,67.14691,66.88749
10,67.20116,66.9518
11,67.20116,66.675606
12,67.46431,67.24732
13,67.61585,67.088615
14,67.52965,67.297554
15,66.96328,66.71487
16,67.91155,67.64989
17,69.04937,67.97547
18,68.961655,68.07326
19,69.14508,68.18669
20,69.258316,69.02579
21,69.25925,68.998436
22,69.2332,69.070724
23,69.17357,68.83162
24,69.64972,69.26027
25,69.68204,69.33909
26,69.88897,69.59433
27,69.88897,69.58841
28,69.88897,69.46205
29,69.9723,69.29806
30,70.13897,69.41849
31,70.13897,69.19438
32,70.2527,70.08926
33,70.34989,69.99669
34,70.37365,69.96316
35,70.37867,69.86205
36,70.433235,70.200554
37,70.517975,70.32073
38,70.56217,70.40716
39,70.58436,70.46547
40,70.50103,70.43003
41,70.50103,70.31039
42,70.61727,70.28175
43,70.533936,70.3396
44,70.67292,70.55977
45,70.783936,70.605835
46,70.86727,70.62354
47,70.86727,70.678345
48,71.00103,70.80534
49,71.09469,70.83015
51,71.405914,70.99798
52,71.405914,71.09374
53,71.405914,71.28037
54,71.405914,71.33978
55,71.57258,71.34309
56,71.48924,71.282646
57,71.57399,71.390205
58,71.57399,71.440056
59,71.657326,70.64498
60,71.657326,71.34857
61,71.6968,71.46199
62,71.74066,71.583595
63,71.74066,71.42277
64,71.780136,71.63804
65,71.86488,71.67675
66,71.97321,71.76805
67,71.97321,71.65586
68,72.174644,72.01423
69,72.174644,72.00806
70,72.174644,71.98377
71,72.13988,71.877594
72,72.19666,71.8014
73,72.19666,72.04494
74,72.19666,72.05938
75,72.227104,71.68084
76,72.28,72.15183
77,72.227104,71.57818
78,72.19666,72.07779
79,72.413,72.08015
80,72.329666,72.12517
81,72.163,72.07422
82,72.21954,71.93471
83,72.163,71.85315
84,72.079666,71.64438
85,72.15436,71.50509
86,72.354355,72.23952
87,72.40436,72.24942
88,72.43081,72.220314
89,72.43081,72.113846
90,72.43081,72.291985
91,72.449814,72.32915
92,72.36647,72.19821
93,72.449814,72.3504
94,72.449814,72.36065
95,72.37454,71.760254
96,72.449814,72.32533
97,72.53314,72.401505
98,72.53314,72.4047
99,72.53314,72.43607
