iteration,best_heuristic,avg_simulation
1,63.63439,59.440155
2,63.63439,62.846355
3,63.866512,63.634346
4,64.036,63.71512
5,64.12075,63.827564
6,64.198746,63.898327
7,64.198746,64.01182
8,64.42314,64.1873
9,64.42314,64.12531
10,64.53542,64.269356
11,64.61441,64.44415
12,64.65459,64.483315
13,64.95763,64.59444
14,65.042366,64.76176
15,65.16206,65.04005
16,65.232605,65.08
17,65.28761,65.19092
18,65.28761,65.051994
19,65.323044,65.21469
20,65.45264,65.26643
21,65.47456,65.34992
22,65.47456,65.35141
23,65.64406,65.483696
24,65.769325,65.47076
25,65.769325,65.64021
26,65.769325,65.58065
27,65.97057,65.73634
28,66.09537,65.687386
29,68.51916,66.08606
30,68.75761,66.84882
31,68.75761,68.49477
32,68.8004,68.63074
33,68.842354,68.646194
34,69.22427,68.7513
35,69.28492,68.89434
36,69.28492,69.148674
37,69.35004,69.14307
38,69.362495,69.245674
39,69.49425,69.353615
40,70.51671,69.40809
41,70.51671,69.76066
42,70.51671,70.37667
43,70.74552,70.52438
44,70.904274,70.59652
45,70.96374,70.74301
46,71.170425,70.7731
47,71.170425,70.91089
48,71.17648,71.1091
49,71.42467,71.281334
51,71.515205,71.23126
52,71.56379,70.86094
53,71.56379,71.38087
54,71.58223,71.452644
55,71.700226,71.61989
56,71.700226,71.60915
57,71.84429,71.73037
58,71.84429,71.64778
59,71.92903,71.781075
60,71.92903,71.74741
61,71.96644,71.84059
62,72.051186,71.69633
63,72.11786,71.72997
64,72.11786,71.825806
65,72.03311,71.90866
66,72.03311,71.69571
67,71.9966,71.81415
68,71.94377,71.82195
69,72.02993,71.91724
70,72.281784,72.03524
71,72.281784,71.93694
72,72.281784,72.07926
73,72.28671,72.21356
74,72.28671,72.20565
75,72.30753,72.12968
76,72.295654,72.16443
77,72.3804,72.14296
78,72.3804,72.25256
79,72.47919,72.26824
80,72.39444,72.26916
81,72.43074,72.28054
82,72.43074,72.2318
83,72.4669,72.34731
84,72.43074,72.35388
85,72.51549,72.29629
86,72.5618,72.31471
87,72.58215,72.33425
88,72.60881,72.53077
89,72.60881,72.50991
90,72.60881,72.52585
91,72.60881,72.50742
92,72.60881,72.37995
93,72.69355,72.472404
94,72.69355,72.492
95,72.739395,72.55595
96,72.739395,72.48015
97,72.65776,72.55492
98,72.77273,72.55243
99,72.77273,72.57729
