iteration,best_heuristic,avg_simulation
1,67.853134,61.10184
2,68.221146,65.196075
3,68.1191,67.717926
4,68.60302,68.05183
5,68.73635,68.07987
6,68.11179,67.37236
7,68.20445,67.84801
8,69.11179,68.1272
9,69.11179,68.481476
10,69.37177,68.999664
11,69.47178,69.14888
12,69.62342,69.38621
13,69.70434,69.483284
14,69.77994,69.395615
15,70.37178,69.63337
16,70.67382,69.934616
17,70.70715,70.31228
18,70.961655,70.55608
19,71.02997,70.74926
20,71.26596,70.99325
21,71.26596,70.91039
22,71.26596,71.129654
23,71.147675,71.05252
24,71.147675,70.89717
25,71.30277,71.00663
26,71.363525,70.66302
27,71.61876,71.38595
28,71.61876,71.36614
29,71.61876,71.53623
30,71.71876,71.479355
31,71.87664,71.42387
32,72.076126,71.74827
33,72.16843,71.55122
34,72.20336,71.53119
35,72.32208,72.14774
36,72.42012,72.17214
37,72.66115,72.21718
38,72.65926,71.92309
39,72.65926,72.503075
40,72.84093,72.553604
41,72.89727,72.64388
42,72.99531,72.6367
43,73.19138,72.96251
44,73.27502,73.10742
45,73.27502,73.19493
46,73.47109,73.2747
47,73.47369,73.32762
48,73.485985,73.264946
49,73.30389,73.03461
51,73.40004,73.28043
52,73.42198,73.2564
53,73.518135,73.30405
54,73.42198,73.30727
55,73.518135,73.31859
56,73.518135,73.36971
57,73.518135,73.20212
58,73.55812,73.40169
59,73.43386,73.28664
60,73.53055,73.34671
61,73.6267,73.44952
62,73.75619,73.56893
63,73.660034,72.83486
64,73.46773,73.26505
65,73.77215,73.31926
66,73.77215,73.34114
67,73.8158,73.614395
68,73.91291,73.70771
69,73.684586,72.86471
70,73.76072,73.62494
71,73.81676,73.70951
72,73.91771,73.787544
73,73.81676,73.71758
74,74.20522,73.8473
75,74.20522,73.93493
76,74.27581,73.98969
77,74.17966,74.01614
78,74.21479,73.779305
79,74.11864,73.988045
80,74.1566,74.01932
81,74.1566,73.84949
82,74.1566,73.98012
83,74.252754,73.21907
84,74.252754,74.08201
85,74.252754,74.13016
86,74.252754,74.15622
87,74.37943,74.266365
88,74.447845,74.3201
89,74.64015,74.454994
90,74.63469,73.969284
91,74.63469,74.45383
92,74.63469,73.97305
93,74.63469,74.484726
94,74.69751,74.38019
95,74.69751,74.53212
96,74.785225,74.230995
97,74.90472,74.64329
98,74.93805,74.7317
99,74.841896,74.69669
