iteration,best_heuristic,avg_simulation
1,68.49937,60.930374
2,68.49937,64.44959
3,68.69544,68.41175
4,68.802795,68.513885
5,68.99945,68.73723
6,68.825516,68.6761
7,69.11963,68.819664
8,69.11963,68.96483
9,69.41375,69.15758
10,69.591324,68.972176
11,69.6557,69.36192
12,69.750046,69.51876
13,69.78338,69.62775
14,69.85199,69.75104
15,70.229355,69.95214
16,70.32369,70.09367
17,70.33179,70.2411
18,70.61481,70.267654
19,70.52048,70.38742
20,70.71278,70.526566
21,70.641335,70.31077
22,70.547,70.37691
23,70.620255,70.36936
24,70.6185,70.40033
25,70.69176,70.42096
26,70.86913,70.60428
27,70.96347,70.76843
28,71.057816,70.68465
29,71.163475,70.82195
30,71.163475,70.87658
31,71.25782,71.12719
32,71.35216,71.17474
33,71.446495,70.87479
34,71.6388,71.31223
35,71.64559,71.42036
36,71.741745,71.55003
37,71.73315,71.47626
38,71.92545,71.590454
39,71.83111,71.54671
40,72.08646,71.88199
41,72.17185,71.89479
42,72.17185,72.05234
43,72.2662,71.99158
44,72.2662,72.123535
45,72.36054,72.13061
46,72.593376,72.3469
47,72.593376,72.35757
48,72.49904,72.243454
49,72.49904,72.102776
51,72.59338,72.22254
52,72.59338,72.426285
53,72.597046,72.45925
54,72.65248,71.960625
55,72.65248,72.3804
56,72.69138,72.50423
57,72.597046,72.05739
58,72.5027,72.134186
59,72.597046,72.43022
60,72.597046,72.51745
61,72.65805,72.45006
62,72.746826,72.538345
63,72.746826,72.33902
64,72.55814,72.42931
65,72.55814,72.077644
66,72.463806,72.35552
67,72.55814,72.39785
68,72.55814,72.310875
69,72.55814,72.41738
70,72.55814,72.37973
71,72.463806,72.174
72,72.51189,72.28147
73,72.746826,72.55492
74,72.82451,72.42739
75,72.963486,72.47943
76,72.963486,72.745384
77,73.094055,72.81639
78,73.094055,72.740364
79,73.11722,72.94523
80,73.35636,72.672874
81,73.31416,73.12819
82,73.31416,73.17937
83,73.379524,73.14579
84,73.285194,72.81973
85,73.285194,73.07184
86,73.285194,73.219154
87,73.285194,73.1496
88,73.47387,73.37774
89,73.47387,73.36478
90,73.47387,73.361244
91,73.47387,73.40271
92,73.662544,73.36198
93,73.662544,72.99828
94,73.662544,73.48752
95,73.662544,72.74347
96,73.662544,73.58257
97,73.75689,73.39637
98,73.75689,73.68237
99,73.670815,73.5792
