iteration,best_heuristic,avg_simulation
1,64.56244,60.059208
2,64.56244,62.800648
3,64.68591,64.41309
4,64.741005,64.39653
5,64.953766,64.64173
6,64.98796,64.70774
7,65.13399,64.85723
8,65.28765,64.59337
9,65.28765,65.04625
10,65.40669,64.9769
11,65.585266,65.127396
12,65.823364,65.40401
13,65.823364,65.654076
14,65.91265,65.57128
15,65.198364,65.06367
16,65.13884,64.956665
17,65.32312,65.12508
18,65.58513,64.89639
19,65.77901,65.56009
20,65.77901,65.45888
21,65.85594,65.68761
22,66.493286,65.64912
23,66.51904,65.896805
24,66.606766,66.40405
25,66.71135,66.49689
26,66.84462,66.55845
27,66.97441,66.63891
28,66.97441,66.80965
29,66.97441,66.79973
30,67.01176,66.90119
31,67.20367,67.004105
32,67.24997,66.91706
33,67.28209,66.924995
34,67.35092,67.11726
35,67.35092,67.122444
36,67.438644,67.23461
37,67.62732,67.27419
38,67.62732,67.35472
39,67.62732,67.26872
40,67.71504,67.3284
41,67.71504,67.67765
42,67.71504,67.56972
43,67.90759,67.563416
44,67.97619,67.85616
45,68.0448,67.77893
46,68.0448,67.89146
47,68.09952,67.74395
48,67.97619,67.82963
49,68.21671,67.66131
51,68.13051,67.401665
52,68.14328,67.88036
53,68.057076,67.859955
54,68.26082,68.05365
55,68.402626,68.20909
56,68.402626,68.05626
57,68.402626,68.308815
58,68.402626,68.13535
59,68.48883,68.27152
60,68.48883,68.31314
61,68.55078,68.36661
62,68.55078,68.47249
63,68.58342,68.45526
64,68.51223,68.25706
65,68.51409,68.334854
66,68.600296,68.37152
67,68.51223,68.42346
68,68.55023,68.31526
69,68.458664,68.33687
70,68.458664,68.30739
71,68.49527,68.373634
72,68.49527,68.40188
73,68.49527,68.31315
74,68.581474,68.42082
75,68.71283,68.36109
76,68.71283,68.52911
77,68.63674,68.283516
78,68.55053,68.51597
79,68.65209,68.512184
80,68.67622,68.552475
81,68.745995,68.626945
82,68.745995,68.615715
83,68.8322,68.72035
84,68.75382,68.63809
85,68.784546,68.555786
86,68.784546,68.617615
87,68.784546,68.550224
88,68.88698,68.612274
89,68.88698,68.67421
90,69.05939,68.678406
91,69.05939,68.71247
92,69.05939,68.968834
93,69.10067,68.85424
94,69.10067,69.02418
95,69.29912,68.91773
96,69.21291,69.07286
97,69.21291,68.95036
98,69.21291,69.09886
99,69.13728,69.05281
