iteration,best_heuristic,avg_simulation
1,62.505264,59.61763
2,62.656525,62.21817
3,62.715836,62.52139
4,63.19966,62.55634
5,63.466225,62.815105
6,63.72046,63.451527
7,63.817535,63.43672
8,63.99935,63.704697
9,64.18117,63.506855
10,64.36298,63.974934
11,64.57833,64.15093
12,64.66308,64.439835
13,64.87712,64.46437
14,64.96187,64.64843
15,64.79237,64.412926
16,64.9036,64.67663
17,64.96968,64.84433
18,65.411575,64.95183
19,65.32683,65.0652
20,65.42995,65.13314
21,65.74523,65.35755
22,65.82998,65.42167
23,65.82998,65.606285
24,66.13775,65.65569
25,66.05866,65.58273
26,66.15353,65.88852
27,66.135155,65.85995
28,66.06878,65.87868
29,66.31645,66.00874
30,66.31645,66.06328
31,66.31645,66.1686
32,66.4012,66.075745
33,66.4012,66.27256
34,66.31645,66.00486
35,66.39303,66.075966
36,66.48595,66.24749
37,66.366264,66.16147
38,66.31645,66.106026
39,66.19677,66.05854
40,66.28152,66.02759
41,66.52697,66.1383
42,66.44222,66.13682
43,66.68313,66.18883
44,66.85262,66.33891
45,66.98828,66.79527
46,66.98828,66.7233
47,66.98828,66.72591
48,66.98828,66.746284
49,66.96181,66.70702
51,66.96181,66.26621
52,66.96181,66.694466
53,66.96181,66.84742
54,66.89395,66.74122
55,66.95428,66.529396
56,66.95428,66.7135
57,66.95428,66.82253
58,67.00707,66.86586
59,67.00707,66.81152
60,67.19793,66.93181
61,67.19793,66.89122
62,67.26254,67.02062
63,67.26254,66.97692
64,67.173645,66.9614
65,67.09305,67.00983
66,67.177795,66.89271
67,67.21631,66.94443
68,67.23297,67.037544
69,67.30105,67.03797
70,67.30105,66.98567
71,67.41505,67.12322
72,67.367424,67.18253
73,67.499794,67.31718
74,67.499794,67.29812
75,67.5991,67.443245
76,67.5991,67.18358
77,67.5991,67.43931
78,67.5991,67.40389
79,67.64281,67.45353
80,67.6962,67.50612
81,67.6962,67.5166
82,67.6962,67.55928
83,67.60972,67.45495
84,67.74693,67.455536
85,67.74693,67.46133
86,67.74693,67.608765
87,67.87772,67.66673
88,67.87772,67.71451
89,67.99543,67.555954
90,67.99543,67.77021
91,67.8591,67.61915
92,67.99543,67.923096
93,67.18113,67.05789
94,67.26106,67.09472
95,67.26106,67.14638
96,67.26106,66.997734
97,67.95181,67.31612
98,67.95181,67.12262
99,67.99217,67.81566
