iteration,best_heuristic,avg_simulation
1,63.36622,60.074745
2,63.36622,62.74094
3,63.523376,63.228386
4,64.11033,63.501827
5,64.27395,63.742798
6,64.605675,64.13215
7,64.76881,64.45065
8,65.08824,64.76415
9,65.24962,64.958176
10,65.04553,64.76818
11,65.31894,64.85225
12,65.44573,65.10822
13,65.65849,65.23676
14,65.65849,65.50205
15,65.86258,65.55191
16,65.86258,65.528755
17,66.07535,65.632675
18,66.17738,65.91712
19,66.17738,66.048584
20,66.21834,66.00143
21,66.29645,66.102264
22,66.29645,66.07302
23,66.50922,66.19159
24,66.61994,66.16191
25,66.491035,66.1964
26,66.611374,66.43699
27,66.8498,66.61148
28,66.95609,66.50956
29,66.95609,66.76371
30,67.27072,66.812256
31,67.27072,66.80912
32,67.47905,67.15955
33,67.47905,67.209984
34,67.58109,67.480804
35,67.47905,67.319664
36,67.52094,67.39796
37,67.85652,67.53317
38,67.652435,67.48043
39,67.58109,67.44942
40,67.62484,67.32883
41,67.62484,67.50281
42,68.01738,67.68272
43,68.119415,67.7945
44,68.42554,67.95583
45,68.52758,68.14718
46,68.52758,68.149704
47,68.52758,68.33218
48,68.71989,68.43639
49,68.71989,68.479996
51,68.61784,68.54883
52,68.61784,68.42588
53,68.51581,68.410385
54,68.708115,68.378654
55,68.708115,68.40879
56,68.81015,68.58367
57,68.81015,68.627426
58,68.81015,68.48328
59,68.851105,68.65771
60,68.851105,68.64333
61,68.99647,68.69782
62,69.18216,68.78554
63,69.18216,68.67337
64,69.18216,69.00631
65,69.18216,68.846115
66,69.08215,68.97105
67,69.08215,68.93909
68,69.09599,68.96857
69,68.995995,68.75392
70,69.09599,68.848595
71,69.09599,68.72802
72,69.09917,68.804924
73,69.27029,69.01604
74,69.27029,68.882805
75,69.27029,69.05571
76,69.17029,68.84871
77,69.17029,68.9381
78,69.17029,69.00972
79,69.27029,69.078415
80,69.37029,69.25555
81,69.37029,69.083046
82,69.35645,69.16791
83,69.35645,69.15996
84,69.21459,69.11108
85,69.17029,68.99782
86,69.43411,68.879524
87,69.43411,69.09388
88,69.43411,69.048805
89,69.43411,69.139465
90,69.334114,69.04284
91,69.334114,68.872955
92,69.334114,69.1538
93,69.334114,69.16092
94,69.4675,69.32904
95,69.4675,69.156006
96,69.3675,69.16455
97,69.3675,69.2716
98,69.3675,69.241
99,69.2675,69.20002
