iteration,best_heuristic,avg_simulation
1,64.02156,59.83119
2,64.158066,62.59471
3,64.065475,63.896034
4,64.237656,63.91138
5,64.33025,64.08527
6,65.17658,64.31885
7,65.2393,64.578354
8,65.331894,65.0052
9,64.68521,64.21668
10,64.63138,64.26959
11,65.047165,64.35568
12,65.074615,64.649605
13,65.934814,65.038025
14,66.079544,65.217705
15,66.20849,65.73374
16,66.204346,65.98874
17,66.296936,65.978355
18,66.296936,66.12537
19,66.482124,66.30749
20,66.7341,66.294014
21,66.928406,66.5692
22,66.89404,66.66631
23,66.89404,66.59024
24,66.95977,66.68364
25,67.10681,66.83814
26,67.14737,66.9859
27,67.15802,66.76014
28,67.29201,67.14613
29,67.29201,67.03715
30,67.32558,67.08144
31,67.41818,67.01015
32,67.538345,67.02295
33,67.41818,66.36933
34,67.51077,66.726974
35,67.51077,67.10399
36,67.66957,67.503876
37,67.66957,67.411865
38,67.76216,67.53201
39,67.88805,67.65542
40,67.980644,67.69111
41,68.073235,67.74539
42,68.09954,67.87927
43,67.85976,67.5081
44,67.767166,67.59313
45,67.767166,67.67137
46,68.01394,67.55526
47,68.01394,67.48396
48,68.10654,67.841286
49,68.01394,67.79843
51,68.19913,67.93232
52,68.12543,67.89561
53,68.21802,67.81096
54,68.312416,68.05662
55,68.312416,68.155975
56,68.312416,67.84093
57,68.495804,68.05188
58,68.495804,68.350105
59,68.495804,68.21446
60,68.495804,68.2857
61,68.495804,68.05546
62,68.495804,68.20218
63,68.588394,68.303566
64,68.680984,68.342735
65,68.680984,68.305466
66,68.495804,68.26499
67,68.495804,68.245804
68,68.588394,68.41943
69,68.403206,68.015335
70,68.627014,68.41783
71,68.495804,68.34032
72,68.495804,68.189804
73,68.495804,68.301956
74,68.54503,68.169235
75,68.564026,68.26271
76,68.65294,68.42713
77,68.65294,68.34298
78,68.67732,68.386856
79,68.67732,68.2672
80,68.67732,68.502716
81,68.67732,68.549545
82,68.8625,68.59595
83,68.95509,68.533066
84,68.8625,68.56893
85,68.947334,68.7328
86,69.03993,68.86353
87,69.03993,68.866615
88,69.16852,68.96674
89,69.00476,68.79359
90,69.03993,68.81441
91,69.079475,68.97644
92,69.079475,68.79155
93,69.17554,68.82853
94,69.08463,68.82525
95,69.08463,68.84977
96,69.08463,68.73526
97,69.17554,68.9285
98,69.30062,69.04809
99,69.20972,69.13485
