iteration,best_heuristic,avg_simulation
1,62.366394,59.8608
2,62.366394,61.743935
3,62.366394,62.177643
4,62.366394,61.568398
5,62.774555,61.829674
6,62.85392,62.50415
7,63.01265,62.740013
8,63.17843,62.817844
9,63.216732,63.062614
10,63.209137,62.986973
11,63.209137,63.076344
12,63.395664,63.05677
13,63.395664,63.016804
14,63.67911,63.27642
15,63.883194,63.554485
16,64.01905,63.691017
17,64.032486,63.677353
18,64.111855,63.998997
19,64.23248,64.062485
20,64.43249,64.13935
21,64.35312,64.037926
22,64.43249,64.18255
23,64.51185,64.350296
24,64.568344,64.283905
25,64.767685,64.43354
26,64.796616,64.622345
27,64.96377,64.691185
28,64.96377,64.81007
29,65.01649,64.72828
30,65.095856,64.90763
31,65.095856,64.98263
32,65.15235,64.90345
33,65.24687,65.05292
34,65.31108,65.1979
35,65.31108,65.22737
36,65.43138,65.192215
37,65.437775,65.2908
38,65.437775,65.20265
39,65.281525,65.135056
40,65.55773,65.29704
41,65.55773,65.41577
42,65.70464,65.46333
43,65.70464,65.43228
44,65.54839,65.21746
45,65.56319,65.43068
46,65.54343,65.22397
47,64.89592,64.76608
48,65.69968,64.90864
49,65.85593,65.20422
51,66.01218,65.4544
52,66.07555,65.87768
53,65.99742,65.833405
54,66.09433,65.79125
55,66.016205,65.693275
56,66.09433,65.87614
57,66.09433,65.94698
58,66.20004,66.00225
59,66.20262,66.02219
60,66.1245,65.883286
61,66.1245,65.94327
62,66.04637,65.892136
63,66.01875,65.87951
64,65.94063,65.81079
65,65.94063,65.845634
66,66.09688,65.925476
67,66.10382,65.93041
68,66.181946,66.08866
69,66.42812,66.129395
70,66.42812,66.12839
71,66.6067,66.146996
72,66.52857,66.3018
73,66.6067,66.41975
74,66.86339,66.54237
75,66.78526,66.613235
76,66.78526,66.6186
77,66.78526,66.642395
78,66.78526,66.716064
79,66.86339,66.84158
80,66.86339,66.66669
81,66.86339,66.63059
82,66.86339,66.73761
83,66.79933,66.692986
84,66.79933,66.732864
85,66.79933,66.65597
86,66.83111,66.633995
87,66.83111,66.67217
88,66.96769,66.74712
89,66.96769,66.66916
90,66.96769,66.791985
91,66.96769,66.79526
92,66.96769,66.72412
93,66.96769,66.86777
94,66.96769,66.90176
95,66.96769,66.871666
96,67.12394,66.979965
97,67.12394,67.031334
98,67.12394,66.96898
99,67.12521,67.069046
