iteration,best_heuristic,avg_simulation
1,63.90305,59.533195
2,64.09913,62.83111
3,64.07327,63.763393
4,64.07327,63.910866
5,64.07327,63.73019
6,64.190475,64.023224
7,64.190475,64.02324
8,64.55993,64.11328
9,64.75224,64.17077
10,65.68237,64.656136
11,65.58034,64.80013
12,65.88646,65.41068
13,65.9885,65.71404
14,66.021126,65.78021
15,66.19258,65.936584
16,66.294624,66.097015
17,66.41751,66.179405
18,66.489365,66.32542
19,66.75261,66.35307
20,66.854645,66.36478
21,66.9265,66.43034
22,67.130585,66.89849
23,67.18244,67.0212
24,67.17546,66.95118
25,67.17546,66.98062
26,67.073425,66.94833
27,66.98291,66.91099
28,66.98291,66.86748
29,67.0829,66.76016
30,67.282906,66.97768
31,67.40483,67.03595
32,67.40483,67.17618
33,67.51524,67.189316
34,67.60892,67.4082
35,67.71933,67.47415
36,67.79761,67.54002
37,67.69557,67.519775
38,67.59353,67.394394
39,67.69557,67.40218
40,67.900345,67.64493
41,67.900345,67.63158
42,67.900345,67.74015
43,68.07892,67.72626
44,68.09061,67.75284
45,68.07892,67.83713
46,68.07892,67.871086
47,68.093155,67.97972
48,68.26859,67.98546
49,68.26859,68.045296
51,68.38951,68.235916
52,68.287476,68.08161
53,68.33327,68.17629
54,68.43531,68.211136
55,68.43531,68.28885
56,68.52924,68.17878
57,68.52924,68.27834
58,68.52924,68.4187
59,68.63129,68.42053
60,68.63129,68.42411
61,68.803696,68.49425
62,68.70166,68.42961
63,68.70166,68.46622
64,68.72069,68.6391
65,68.72069,68.505325
66,68.82272,68.46347
67,68.82272,68.39696
68,69.00778,68.708626
69,69.00778,68.848175
70,69.00778,68.8405
71,69.00778,68.88482
72,69.0822,68.91331
73,69.0822,68.87363
74,69.0822,68.887825
75,69.0822,68.89111
76,69.23114,68.77457
77,69.23114,69.10307
78,69.24125,69.06886
79,69.24125,69.16022
80,69.139206,69.017586
81,69.24125,68.891304
82,69.139206,68.95104
83,69.139206,68.97054
84,69.03716,68.13867
85,69.03716,68.805595
86,69.139206,69.118996
87,69.30587,69.050735
88,69.203835,68.92653
89,69.33316,68.97265
90,69.45432,69.278305
91,69.45432,69.21638
92,69.35228,69.18029
93,69.35228,69.00354
94,69.35228,69.049805
95,69.35228,69.10348
96,69.25024,69.180214
97,69.35228,69.109314
98,69.35228,69.06068
99,69.25024,69.10484
