iteration,best_heuristic,avg_simulation
1,63.64058,59.952538
2,64.24058,62.879322
3,64.24058,63.718067
4,64.24058,64.02148
5,64.33854,64.15923
6,64.538536,64.11775
7,64.64058,64.25176
8,64.35866,63.717056
9,64.558655,64.19476
10,64.65231,64.46069
11,64.76273,64.54315
12,64.86478,64.75937
13,65.161095,64.86096
14,65.26313,64.99031
15,65.26313,65.00832
16,65.46722,65.2264
17,65.46722,65.34237
18,65.56925,65.286644
19,65.765335,65.43263
20,65.765335,65.34222
21,65.86738,65.68876
22,65.920006,65.63558
23,66.124084,65.99559
24,66.02204,65.79174
25,66.124084,65.84254
26,66.124084,65.80658
27,66.36671,66.00655
28,66.36671,66.19673
29,66.46399,66.15207
30,66.50075,66.36053
31,66.69306,66.362915
32,66.69306,66.43856
33,67.10568,66.415665
34,67.10568,66.59472
35,67.10568,66.586914
36,67.294365,66.90167
37,67.3964,67.09088
38,67.3964,67.02063
39,67.49006,67.24778
40,67.49006,67.32805
41,67.52414,67.44635
42,67.67874,67.44648
43,67.6991,67.26155
44,67.6991,67.47058
45,67.6991,67.14252
46,67.87857,67.505775
47,67.98061,67.76488
48,67.98061,67.74011
49,67.98061,67.797066
51,68.02941,67.74522
52,68.02941,67.881744
53,67.92737,67.65698
54,68.02941,67.86801
55,68.03455,67.86158
56,67.98229,67.79057
57,68.08985,67.9086
58,68.03759,67.82817
59,68.16691,67.91265
60,68.11705,67.84353
61,68.017044,67.80577
62,68.017044,67.90835
63,68.09562,67.794655
64,68.09562,67.823814
65,68.233826,68.10218
66,68.233826,68.12693
67,68.292175,67.800934
68,68.292175,68.12215
69,68.292175,67.89614
70,68.308044,67.75838
71,68.40804,68.27355
72,68.308044,68.10218
73,68.40804,68.23063
74,68.50804,68.292076
75,68.68045,68.4421
76,68.78046,68.393265
77,68.68045,68.52974
78,68.68045,68.41398
79,68.68045,68.492294
80,68.7867,68.39005
81,68.8867,68.575
82,68.770836,68.49934
83,68.870834,68.53471
84,68.870834,68.76261
85,68.97083,68.85338
86,68.97083,68.77944
87,68.97083,68.71949
88,68.97083,68.871056
89,68.9716,68.67133
90,68.9716,68.81121
91,69.10693,68.8201
92,69.10693,68.88309
93,69.10693,68.77179
94,69.23462,68.836266
95,69.269135,69.09834
96,69.269135,68.99594
97,69.37642,69.14694
98,69.37642,69.19353
99,69.32439,68.62223
