iteration,best_heuristic,avg_simulation
1,63.042458,59.09938
2,63.042458,61.323215
3,63.58555,63.00502
4,63.042458,62.66704
5,62.213554,61.88056
6,63.680756,63.0684
7,64.19272,63.398743
8,64.30132,63.376858
9,64.53042,64.09735
10,64.948006,64.36929
11,64.95595,64.54627
12,64.95595,64.466095
13,65.48131,64.883514
14,65.48131,64.88338
15,65.613495,65.41401
16,65.71766,65.23405
17,65.89798,65.61284
18,66.00828,65.485954
19,65.48495,64.740036
20,66.52661,66.22335
21,66.52661,66.28944
22,66.626526,66.40023
23,66.73069,66.33794
24,66.73069,66.53893
25,66.626526,66.39241
26,66.68291,66.50856
27,66.83486,66.62229
28,66.92588,66.64176
29,67.01779,66.688576
30,67.12196,66.92551
31,67.12196,66.92406
32,67.25734,66.97937
33,67.46996,66.82924
34,67.46996,67.24222
35,67.550766,67.4287
36,67.6783,67.38763
37,67.6783,67.42769
38,67.6783,67.424934
39,67.6783,67.35093
40,67.6783,67.288475
41,67.688416,67.41912
42,67.78246,67.666084
43,67.78246,67.57632
44,67.9908,67.734726
45,68.279884,67.84283
46,68.384056,67.97566
47,68.384056,68.29352
48,67.446556,66.8888
49,68.48822,68.210785
51,68.592384,68.281204
52,68.48822,68.15149
53,68.45463,68.296585
54,68.63128,68.20196
55,68.63128,68.388596
56,68.63128,68.5053
57,68.63128,68.55111
58,68.73544,68.43115
59,68.63128,68.36938
60,68.66926,68.45715
61,68.77342,68.42981
62,68.84903,68.597595
63,69.053116,68.93643
64,69.23169,68.77448
65,69.23169,68.99794
66,69.333725,69.09201
67,69.24987,69.03197
68,69.24987,68.89795
69,69.24987,68.938324
70,69.24987,69.19954
71,69.24987,69.02678
72,69.24987,68.95924
73,69.24987,69.13889
74,69.24987,69.13079
75,69.24987,69.13685
76,69.24987,69.076996
77,69.24987,69.05297
78,69.27782,69.01799
79,69.2905,69.05202
80,69.18845,68.805305
81,69.215744,68.95138
82,69.215744,69.07036
83,69.314384,68.94185
84,69.329636,69.05539
85,68.329636,68.03307
86,68.329636,68.10028
87,69.329636,68.19181
88,69.35637,68.4455
89,69.35637,69.1593
90,69.49066,69.08668
91,69.49066,69.29871
92,69.31206,69.12634
93,69.390656,69.258316
94,69.41206,69.21669
95,69.41206,69.30105
96,69.41206,69.27284
97,69.41206,69.230804
98,69.41206,69.158165
99,69.21206,68.971375
